,Unnamed: 0,ID,region_id,private,price,make,model,fuel_type,mileage,reg_year,eng_capacity,color,capacity,dayslive
16106,16106,501b07b0361192222b0b706fd8bf52e0a28a7ee6,11,business,23900.0,ford,kuga,diesel,10.275051108968611,2016,2000,white,5,21
16107,16107,b10b9b4939553ebe9866c75766c0753991daf663,13,business,11500.0,vw,new-beetle-cabriolet,gaz,11.05089000537367,2010,1390,blue,4,89
16108,16108,7411fd2068f6945e04c4c4b3170d72364c457388,11,business,79850.0,bmw,x6,diesel,10.005592775473282,2016,2993,white,5,11
16109,16109,6d3e3f9669a203856ebcb4a89a59552ce597385b,13,business,23250.0,peugeot,2008,diesel,8.294049640102028,2018,1600,white,5,103
16110,16110,d45dddc1b64743ce23f7746b628afa02294bc3c5,11,business,21900.0,ford,s-max,diesel,11.452038933858548,2013,1997,other,5,24
16111,16111,e266a32c2a81b939ffdf3b52c8833420e58ccdca,11,business,21900.0,ds,ds4,diesel,9.9869091606752,2017,1560,white,5,34
16112,16112,e75a677b748966de248295f8b4cba40db1c14713,11,business,18690.0,audi,a1-sportback,diesel,10.271596874100524,2016,1422,white,5,54
16113,16113,84bb7675e2f52033249bc88eb0a75b26c1589f87,6,private,18400.0,opel,mokka,diesel,10.308919326755392,2015,1600,white,5,8
16114,16114,96ca76d76e2cf8d91c305904087fb3a9aecdbc4c,11,business,11700.0,ford,fiesta,diesel,11.070350214885682,2015,1500,white,5,11
16115,16115,5d022c1944a0e485f8cc21c902d1d5dda02ee01a,0,business,25700.0,vw,passat-variant,diesel,11.357195204929413,2016,1598,other,5,21
16116,16116,782f3168e47b7ddd76f067fcd6210280cfb9279b,11,business,16500.0,vw,golf-variant,diesel,10.929349920839574,2013,1598,other,5,96
16117,16117,29c4e65c4b2e1841e6a9bbc8f8e05692c09b7193,13,business,5250.0,renault,clio,diesel,12.072541252905651,2008,1500,blue,5,11
16118,16118,e213dae7dc9d64055938863f6248a6f67d857701,11,business,29500.0,nissan,x-trail,diesel,9.996522418503318,2017,1598,green,7,124
16119,16119,9cb8adca2cf54f75dca92800c5d3c42c7ca05755,5,business,25500.0,toyota,c-hr,gaz,9.335474102732949,2017,1197,other,5,41
16120,16120,9fbf33217fc7deeb7f9131b33890ff39a8d6167b,15,business,15999.0,vw,scirocco,gaz,10.896739325546411,2011,1400,white,4,33
16121,16121,4e172fd276ca6832dd883be9963334e24bf63006,0,business,36600.0,bmw,520,diesel,10.24131601192848,2016,1995,other,5,59
16122,16122,bcec823b212f697aaac5e3eaee2a47308a4c78fb,13,business,24990.0,audi,a3-sportback,diesel,9.265112607823163,2017,1598,other,5,55
16123,16123,516147ba401d8e8c9dc496863ba40c9934ae4157,14,private,2000.0,seat,alhambra,diesel,12.525834611445367,1997,1900,blue,7,8
16124,16124,4dfb1f30a90546f849b77fb40bb42a7ed6be7786,14,business,38750.0,bmw,x1,diesel,2.772588722239781,2018,1496,beige,5,25
16125,16125,08a514304cf914843b9382cb1e7529c1700ee3ec,14,business,1800.0,mercedes-benz,200,diesel,12.269047444691562,1992,2000,white,5,43
16126,16126,e8842c1d17c6a63a1dcbe605b3afef17c055e5e6,3,business,10999.0,renault,clio,diesel,11.407564949312402,2014,1500,red,5,15
16127,16127,10666a172750ba6e8e22d91c9295a89e9eb3df78,13,business,14900.0,audi,a3-limousine,diesel,12.196022309676673,2014,1600,golden,5,12
16128,16128,bc22f0be7b3577a39c2ab819f87de9fbeddc7b3e,13,business,14900.0,seat,leon,diesel,11.26464357674532,2014,1598,other,5,35
16129,16129,22f13102a64c823d8c6bac2e7fbca98a97d87e12,13,business,4200.0,audi,a3,diesel,12.429216196844383,1998,1896,blue,5,17
16130,16130,37ec9ff48bb8fe6d6a4f1ba8f1ed61398ea58a14,11,business,14800.0,smart,fortwo,gaz,8.517193191416238,2018,999,white,5,77
