,Unnamed: 0,ID,region_id,private_business,price,make,model,fuel_type,mileage,reg_year,eng_capacity,color,capacity,dayslive
20167,20167,b6e42189fde5b1d693a052b02048d6305a8c9046,11,business,29000.0,mercedes-benz,mercedes-benz-c-200,diesel,90779,2015,1598,other,,40
20168,20168,8b9264d8b079018ab2a0f85e3f4b63362b76e207,17,business,16900.0,renault,renault-megane,diesel,95017,2016,1461,white,,12
20169,20169,b7117a846ddf9beab3effb87494ffb9a2bc855d7,11,business,14800.0,opel,opel-corsa,diesel,27903,2017,1248,other,,8
20170,20170,5ff12af590205e205ffee9c51f1bb2754061fd2d,8,business,28900.0,mercedes-benz,mercedes-benz-e-300,hibride-diesel,84483,2014,2143,blue,,20
20171,20171,6d7bd87db019dcf40bc707b5ead643c2b13edb9c,11,business,15900.0,seat,seat-leon-st,diesel,51128,2015,1598,other,,49
20172,20172,1bfee7a1c13e7b154fa91cbad708c92fa8b669ad,11,business,40950.0,bmw,bmw-218-gran-tourer,diesel,13500,2017,1995,white,,38
20173,20173,a2c8997eae1104fc45e46aadbf7ce46e6191117e,10,business,9800.0,citroen,citroen-c1,gaz,32524,2016,998,red,4.0,17
20174,20174,f9385955cc9558743b2e264c1862c866976c49a4,17,business,11750.0,mitsubishi,mitsubishi-l200,diesel,140000,2003,2477,red,,38
20175,20175,b70206ca2a1d2e443c403508bd3d1a8dd09816c3,13,business,29900.0,bmw,bmw-318,diesel,58000,2017,2000,white,,10
20176,20176,9383882dc6ba6772d0684f72884d82dcd2ba3654,11,business,9000.0,renault,renault-trafic,diesel,282000,2007,2000,white,9.0,28
20177,20177,6d2804412763796c1bdb07e698d4a6ea4e8fd6ee,13,business,26600.0,bmw,bmw-520,diesel,106954,2014,1995,other,,13
20178,20178,3c76858e19d5c5266ebfef9175640d271201683f,11,business,20500.0,mini,mini-clubman,diesel,38814,2016,1496,brown,,22
20179,20179,d1a4a5a4d3db1289e0d20dc1cb44ac980ac96964,6,business,10250.0,renault,renault-clio,gaz,63089,2012,1461,white,,30
20180,20180,905ddd98a888a574d8cf0809f8e84bbcb52e1b75,15,business,5500.0,ford,ford-mondeo,diesel,185000,2005,2200,blue,,17
20181,20181,c90b006685d78cf9211e4685bd97d52e5c36eeec,11,business,30400.0,toyota,toyota-c-hr,hibride-gaz,1,2018,1798,white,,9
20182,20182,fb358aa8de59d2457d850e715e5d951adca33166,15,business,20990.0,fiat,fiat-tipo-station-wagon,diesel,22032,2018,1300,red,,7
20183,20183,091dc486a6936b0f063adb703c9bad7a908308ed,1,business,3300.0,citroen,citroen-berlingo,diesel,1,2013,1560,white,3.0,62
20184,20184,3fca618f2342caaacad8ad2bfc732ae07e40919d,11,business,13800.0,renault,renault-megane,diesel,81027,2014,1461,other,,7
20185,20185,57c1eb0ebc84ba60d9e4dd83e5e9695bc062f829,11,business,10950.0,toyota,toyota-avensis,diesel,243000,2006,2200,blue,,106
20186,20186,1d4c98f12d4a2c36cdb75d1b19142bab417d5bbe,13,business,2850.0,hyundai,hyundai-getz,gaz,156000,2005,1100,blue,,77
20187,20187,f0682fa6b4915b5cd1a2358b70253dfb7ead73e4,13,business,4990.0,land-rover,land-rover-freelander,diesel,266000,1998,2000,blue,,218
20188,20188,8fa32bf52ee374adecd4602dc02dfefddf7daae2,15,business,19800.0,renault,renault-megane,diesel,19000,2017,1461,blue,,104
20189,20189,867005035e6b4739cc4ef2a70ab2b33a7b609ba7,11,business,19490.0,mini,mini-paceman,diesel,48000,2013,1600,red,4.0,187
20190,20190,88ea8ee2a6cb11950f93459eeedb752c9411a3de,13,business,29000.0,mercedes-benz,mercedes-benz-c-220,diesel,120105,2015,2143,white,,111
20191,20191,d9bb80b469a8ba954f1cb2a3117212934974a963,11,business,6990.0,fiat,fiat-bravo,diesel,261000,2011,1600,white,,116
20192,20192,9607294be4504a484a6ae8ba4956dc30fdb6d00c,10,business,43950.0,mercedes-benz,mercedes-benz-a-45-amg,gaz,34800,2014,1991,white,,19
20193,20193,1d45e41e6c4d3595bd95a5463c32978036be0217,11,business,17900.0,ds,ds-ds3,diesel,21550,2017,1560,red,,107
20194,20194,d71df93efad7debb1c66c0c9d0964a6898505c45,11,business,18950.0,audi,audi-a4-avant,diesel,90000,2010,2000,blue,,43
20195,20195,497a8a0b960ac171d6026595a62c0bcb0b2680c1,8,business,11850.0,audi,audi-a4-avant,diesel,129000,2007,2000,blue,,123
20196,20196,0cd33b35429fded9bf2b402a4e0fb503a246db7e,10,business,3750.0,renault,renault-megane-break,diesel,201399,2005,1500,blue,,126
20197,20197,d12c4c3c2a4784d02b6d88753f7f200c1c9c0222,13,business,1650.0,vw,vw-golf,gaz,203000,1999,1400,blue,,10
20198,20198,a982fa30778c28c81ee0b3f6ebc7afedb07faa0c,13,business,10500.0,peugeot,peugeot-3008,diesel,208000,2010,1590,white,,32
20199,20199,3b69362c6fdb83f8882ba90098fa019ec75eac91,1,business,22990.0,bmw,bmw-116,diesel,49000,2016,1500,white,,120
20200,20200,9f91791a6b3ef023b6ac3e86562be4e7a86c2ece,10,business,27950.0,volvo,volvo-v60,hibride-diesel,208000,2015,2400,blue,,38
20201,20201,8234db774f494edbc2c4e840703666e009f2ae02,10,business,17950.0,audi,audi-a1-sportback,diesel,109509,2013,1598,white,,15
20202,20202,1f3861a728ddfbaa993b0a94f4dbb51855cc8018,13,business,4950.0,renault,renault-scenic,diesel,202000,2004,1500,other,,43
20203,20203,600dfd3a4ed599d4a83901bd6e3ef22816f095d6,3,business,9750.0,opel,opel-astra,diesel,198780,2010,1686,blue,,31
20204,20204,6e8621cfe1a5d618d2ec44878b5c24db8f668d51,13,business,5650.0,opel,opel-astra,diesel,178000,2007,1300,green,,23
20205,20205,ed027b200c1687fa0313dff7a88671f4a8b970ec,17,business,18990.0,audi,audi-a3,diesel,114981,2012,2000,white,,81
